year,country,Type,Co2 Emission
1753,Europe,Oil,0.0
1753,Europe,Other Industries,0.0
1753,Europe (excl. EU-27),Coal,9.354
1753,Europe (excl. EU-27),Gas,0.0
1753,Europe (excl. EU-27),Oil,0.0
1753,Europe (excl. EU-27),Other Industries,0.0
1753,United Kingdom,Coal,9.354
1753,United Kingdom,Gas,0.0
1753,United Kingdom,Oil,0.0
1753,United Kingdom,Other Industries,0.0
1753,World,Coal,9.354
1753,World,Gas,0.0
1753,World,Oil,0.0
1753,World,Other Industries,0.0
1754,EU-28,Coal,9.358
1754,EU-28,Gas,0.0
1754,EU-28,Oil,0.0
1754,EU-28,Other Industries,0.0
1754,Europe,Coal,9.358
1754,Europe,Gas,0.0
1754,Europe,Oil,0.0
1754,Europe,Other Industries,0.0
1754,Europe (excl. EU-27),Coal,9.358
1754,Europe (excl. EU-27),Gas,0.0
1754,Europe (excl. EU-27),Oil,0.0
1754,Europe (excl. EU-27),Other Industries,0.0
1754,United Kingdom,Coal,9.358
1754,United Kingdom,Gas,0.0
1754,United Kingdom,Oil,0.0
1754,United Kingdom,Other Industries,0.0
1754,World,Coal,9.358
1754,World,Gas,0.0
1754,World,Oil,0.0
1754,World,Other Industries,0.0
1755,EU-28,Coal,9.362
1755,EU-28,Gas,0.0
1755,EU-28,Oil,0.0
1755,EU-28,Other Industries,0.0
1755,Europe,Coal,9.362
1755,Europe,Gas,0.0
1755,Europe,Oil,0.0
1755,Europe,Other Industries,0.0
1755,Europe (excl. EU-27),Coal,9.362
1755,Europe (excl. EU-27),Gas,0.0
1755,Europe (excl. EU-27),Oil,0.0
1755,Europe (excl. EU-27),Other Industries,0.0
1755,United Kingdom,Coal,9.362
1755,United Kingdom,Gas,0.0
1755,United Kingdom,Oil,0.0
1755,United Kingdom,Other Industries,0.0
1755,World,Coal,9.362
1755,World,Gas,0.0
1755,World,Oil,0.0
1755,World,Other Industries,0.0
1756,EU-28,Coal,10.006
1756,EU-28,Gas,0.0
1756,EU-28,Oil,0.0
1756,EU-28,Other Industries,0.0
1756,Europe,Coal,10.006
1756,Europe,Gas,0.0
1756,Europe,Oil,0.0
1756,Europe,Other Industries,0.0
1756,Europe (excl. EU-27),Coal,10.006
1756,Europe (excl. EU-27),Gas,0.0
1756,Europe (excl. EU-27),Oil,0.0
1756,Europe (excl. EU-27),Other Industries,0.0
1756,United Kingdom,Coal,10.006
1756,United Kingdom,Gas,0.0
1756,United Kingdom,Oil,0.0
1756,United Kingdom,Other Industries,0.0
1756,World,Coal,10.006
1756,World,Gas,0.0
1756,World,Oil,0.0
1756,World,Other Industries,0.0
1757,EU-28,Coal,10.01
1757,EU-28,Gas,0.0
1757,EU-28,Oil,0.0
1757,EU-28,Other Industries,0.0
1757,Europe,Coal,10.01
1757,Europe,Gas,0.0
1757,Europe,Oil,0.0
1757,Europe,Other Industries,0.0
1757,Europe (excl. EU-27),Coal,10.01
1757,Europe (excl. EU-27),Gas,0.0
1757,Europe (excl. EU-27),Oil,0.0
1757,Europe (excl. EU-27),Other Industries,0.0
1757,United Kingdom,Coal,10.01
1757,United Kingdom,Gas,0.0
1757,United Kingdom,Oil,0.0
1757,United Kingdom,Other Industries,0.0
1757,World,Coal,10.01
1757,World,Gas,0.0
1757,World,Oil,0.0
1757,World,Other Industries,0.0
1758,EU-28,Coal,10.014
1758,EU-28,Gas,0.0
1758,EU-28,Oil,0.0
1758,EU-28,Other Industries,0.0
1758,Europe,Coal,10.014
1758,Europe,Gas,0.0
1758,Europe,Oil,0.0
1758,Europe,Other Industries,0.0
1758,Europe (excl. EU-27),Coal,10.014
1758,Europe (excl. EU-27),Gas,0.0
1758,Europe (excl. EU-27),Oil,0.0
1758,Europe (excl. EU-27),Other Industries,0.0
1758,United Kingdom,Coal,10.014
1758,United Kingdom,Gas,0.0
1758,United Kingdom,Oil,0.0
1758,United Kingdom,Other Industries,0.0
1758,World,Coal,10.014
1758,World,Gas,0.0
1758,World,Oil,0.0
1758,World,Other Industries,0.0
1759,EU-28,Coal,10.017
1759,EU-28,Gas,0.0
1759,EU-28,Oil,0.0
1759,EU-28,Other Industries,0.0
1759,Europe,Coal,10.017
1759,Europe,Gas,0.0
1759,Europe,Oil,0.0
1759,Europe,Other Industries,0.0
1759,Europe (excl. EU-27),Coal,10.017
1759,Europe (excl. EU-27),Gas,0.0
1759,Europe (excl. EU-27),Oil,0.0
1759,Europe (excl. EU-27),Other Industries,0.0
1759,United Kingdom,Coal,10.017
1759,United Kingdom,Gas,0.0
1759,United Kingdom,Oil,0.0
1759,United Kingdom,Other Industries,0.0
1759,World,Coal,10.017
1759,World,Gas,0.0
1759,World,Oil,0.0
1759,World,Other Industries,0.0
1760,EU-28,Coal,10.017
1760,EU-28,Gas,0.0
1760,EU-28,Oil,0.0
1760,EU-28,Other Industries,0.0
1760,Europe,Coal,10.017
1760,Europe,Gas,0.0
1760,Europe,Oil,0.0
1760,Europe,Other Industries,0.0
1760,Europe (excl. EU-27),Coal,10.017
1760,Europe (excl. EU-27),Gas,0.0
1760,Europe (excl. EU-27),Oil,0.0
1760,Europe (excl. EU-27),Other Industries,0.0
1760,United Kingdom,Coal,10.017
1760,United Kingdom,Gas,0.0
1760,United Kingdom,Oil,0.0
1760,United Kingdom,Other Industries,0.0
1760,World,Coal,10.017
1760,World,Gas,0.0
1760,World,Oil,0.0
1760,World,Other Industries,0.0
1761,EU-28,Coal,10.974
1761,EU-28,Gas,0.0
1761,EU-28,Oil,0.0
1761,EU-28,Other Industries,0.0
1761,Europe,Coal,10.974
1761,Europe,Gas,0.0
1761,Europe,Oil,0.0
1761,Europe,Other Industries,0.0
1761,Europe (excl. EU-27),Coal,10.974
1761,Europe (excl. EU-27),Gas,0.0
1761,Europe (excl. EU-27),Oil,0.0
1761,Europe (excl. EU-27),Other Industries,0.0
1761,United Kingdom,Coal,10.974
1761,United Kingdom,Gas,0.0
1761,United Kingdom,Oil,0.0
1761,United Kingdom,Other Industries,0.0
1761,World,Coal,10.974
1761,World,Gas,0.0
1761,World,Oil,0.0
1761,World,Other Industries,0.0
1762,EU-28,Coal,10.977
1762,EU-28,Gas,0.0
1762,EU-28,Oil,0.0
1762,EU-28,Other Industries,0.0
1762,Europe,Coal,10.977
1762,Europe,Gas,0.0
1762,Europe,Oil,0.0
1762,Europe,Other Industries,0.0
1762,Europe (excl. EU-27),Coal,10.977
1762,Europe (excl. EU-27),Gas,0.0
1762,Europe (excl. EU-27),Oil,0.0
1762,Europe (excl. EU-27),Other Industries,0.0
1762,United Kingdom,Coal,10.977
1762,United Kingdom,Gas,0.0
1762,United Kingdom,Oil,0.0
1762,United Kingdom,Other Industries,0.0
1762,World,Coal,10.977
1762,World,Gas,0.0
1762,World,Oil,0.0
1762,World,Other Industries,0.0
1763,EU-28,Coal,10.981
1763,EU-28,Gas,0.0
1763,EU-28,Oil,0.0
1763,EU-28,Other Industries,0.0
1763,Europe,Coal,10.981
1763,Europe,Gas,0.0
1763,Europe,Oil,0.0
1763,Europe,Other Industries,0.0
1763,Europe (excl. EU-27),Coal,10.981
1763,Europe (excl. EU-27),Gas,0.0
1763,Europe (excl. EU-27),Oil,0.0
1763,Europe (excl. EU-27),Other Industries,0.0
1763,United Kingdom,Coal,10.981
1763,United Kingdom,Gas,0.0
1763,United Kingdom,Oil,0.0
1763,United Kingdom,Other Industries,0.0
1763,World,Coal,10.981
1763,World,Gas,0.0
1763,World,Oil,0.0
1763,World,Other Industries,0.0
1764,EU-28,Coal,10.985
1764,EU-28,Gas,0.0
1764,EU-28,Oil,0.0
1764,EU-28,Other Industries,0.0
1764,Europe,Coal,10.985
1764,Europe,Gas,0.0
1764,Europe,Oil,0.0
1764,Europe,Other Industries,0.0
1764,Europe (excl. EU-27),Coal,10.985
1764,Europe (excl. EU-27),Gas,0.0
1764,Europe (excl. EU-27),Oil,0.0
1764,Europe (excl. EU-27),Other Industries,0.0
1764,United Kingdom,Coal,10.985
1764,United Kingdom,Gas,0.0
1764,United Kingdom,Oil,0.0
1764,United Kingdom,Other Industries,0.0
1764,World,Coal,10.985
1764,World,Gas,0.0
1764,World,Oil,0.0
1764,World,Other Industries,0.0
1765,EU-28,Coal,10.988
1765,EU-28,Gas,0.0
1765,EU-28,Oil,0.0
1765,EU-28,Other Industries,0.0
1765,Europe,Coal,10.988
1765,Europe,Gas,0.0
1765,Europe,Oil,0.0
1765,Europe,Other Industries,0.0
1765,Europe (excl. EU-27),Coal,10.988
1765,Europe (excl. EU-27),Gas,0.0
1765,Europe (excl. EU-27),Oil,0.0
1765,Europe (excl. EU-27),Other Industries,0.0
1765,United Kingdom,Coal,10.988
1765,United Kingdom,Gas,0.0
1765,United Kingdom,Oil,0.0
1765,United Kingdom,Other Industries,0.0
1765,World,Coal,10.988
1765,World,Gas,0.0
1765,World,Oil,0.0
1765,World,Other Industries,0.0
1766,EU-28,Coal,12.26
1766,EU-28,Gas,0.0
1766,EU-28,Oil,0.0
1766,EU-28,Other Industries,0.0
1766,Europe,Coal,12.26
1766,Europe,Gas,0.0
1766,Europe,Oil,0.0
1766,Europe,Other Industries,0.0
1766,Europe (excl. EU-27),Coal,12.26
1766,Europe (excl. EU-27),Gas,0.0
1766,Europe (excl. EU-27),Oil,0.0
1766,Europe (excl. EU-27),Other Industries,0.0
1766,United Kingdom,Coal,12.26
1766,United Kingdom,Gas,0.0
1766,United Kingdom,Oil,0.0
1766,United Kingdom,Other Industries,0.0
1766,World,Coal,12.26
1766,World,Gas,0.0
1766,World,Oil,0.0
1766,World,Other Industries,0.0
1767,EU-28,Coal,12.263
1767,EU-28,Gas,0.0
1767,EU-28,Oil,0.0
1767,EU-28,Other Industries,0.0
1767,Europe,Coal,12.263
1767,Europe,Gas,0.0
1767,Europe,Oil,0.0
1767,Europe,Other Industries,0.0
1767,Europe (excl. EU-27),Coal,12.263
1767,Europe (excl. EU-27),Gas,0.0
1767,Europe (excl. EU-27),Oil,0.0
1767,Europe (excl. EU-27),Other Industries,0.0
1767,United Kingdom,Coal,12.263
1767,United Kingdom,Gas,0.0
1767,United Kingdom,Oil,0.0
1767,United Kingdom,Other Industries,0.0
1767,World,Coal,12.263
1767,World,Gas,0.0
1767,World,Oil,0.0
1767,World,Other Industries,0.0
1768,EU-28,Coal,12.267
1768,EU-28,Gas,0.0
1768,EU-28,Oil,0.0
1768,EU-28,Other Industries,0.0
1768,Europe,Coal,12.267
1768,Europe,Gas,0.0
1768,Europe,Oil,0.0
1768,Europe,Other Industries,0.0
1768,Europe (excl. EU-27),Coal,12.267
1768,Europe (excl. EU-27),Gas,0.0
1768,Europe (excl. EU-27),Oil,0.0
1768,Europe (excl. EU-27),Other Industries,0.0
1768,United Kingdom,Coal,12.267
1768,United Kingdom,Gas,0.0
1768,United Kingdom,Oil,0.0
1768,United Kingdom,Other Industries,0.0
1768,World,Coal,12.267
1768,World,Gas,0.0
1768,World,Oil,0.0
1768,World,Other Industries,0.0
1769,EU-28,Coal,12.271
1769,EU-28,Gas,0.0
1769,EU-28,Oil,0.0
1769,EU-28,Other Industries,0.0
1769,Europe,Coal,12.271
1769,Europe,Gas,0.0
1769,Europe,Oil,0.0
1769,Europe,Other Industries,0.0
1769,Europe (excl. EU-27),Coal,12.271
1769,Europe (excl. EU-27),Gas,0.0
1769,Europe (excl. EU-27),Oil,0.0
1769,Europe (excl. EU-27),Other Industries,0.0
1769,United Kingdom,Coal,12.271
1769,United Kingdom,Gas,0.0
1769,United Kingdom,Oil,0.0
1769,United Kingdom,Other Industries,0.0
1769,World,Coal,12.271
1769,World,Gas,0.0
1769,World,Oil,0.0
1769,World,Other Industries,0.0
1770,EU-28,Coal,12.274
1770,EU-28,Gas,0.0
1770,EU-28,Oil,0.0
1770,EU-28,Other Industries,0.0
1770,Europe,Coal,12.274
1770,Europe,Gas,0.0
1770,Europe,Oil,0.0
1770,Europe,Other Industries,0.0
1770,Europe (excl. EU-27),Coal,12.274
1770,Europe (excl. EU-27),Gas,0.0
1770,Europe (excl. EU-27),Oil,0.0
1770,Europe (excl. EU-27),Other Industries,0.0
1770,United Kingdom,Coal,12.274
1770,United Kingdom,Gas,0.0
1770,United Kingdom,Oil,0.0
1770,United Kingdom,Other Industries,0.0
1770,World,Coal,12.274
1770,World,Gas,0.0
1770,World,Oil,0.0
1770,World,Other Industries,0.0
1771,EU-28,Coal,13.612
1771,EU-28,Gas,0.0
1771,EU-28,Oil,0.0
1771,EU-28,Other Industries,0.0
1771,Europe,Coal,13.612
1771,Europe,Gas,0.0
1771,Europe,Oil,0.0
1771,Europe,Other Industries,0.0
1771,Europe (excl. EU-27),Coal,13.612
1771,Europe (excl. EU-27),Gas,0.0
1771,Europe (excl. EU-27),Oil,0.0
1771,Europe (excl. EU-27),Other Industries,0.0
1771,United Kingdom,Coal,13.612
1771,United Kingdom,Gas,0.0
1771,United Kingdom,Oil,0.0
1771,United Kingdom,Other Industries,0.0
1771,World,Coal,13.612
1771,World,Gas,0.0
1771,World,Oil,0.0
1771,World,Other Industries,0.0
1772,EU-28,Coal,13.615
1772,EU-28,Gas,0.0
1772,EU-28,Oil,0.0
1772,EU-28,Other Industries,0.0
1772,Europe,Coal,13.615
1772,Europe,Gas,0.0
1772,Europe,Oil,0.0
1772,Europe,Other Industries,0.0
1772,Europe (excl. EU-27),Coal,13.615
1772,Europe (excl. EU-27),Gas,0.0
1772,Europe (excl. EU-27),Oil,0.0
1772,Europe (excl. EU-27),Other Industries,0.0
1772,United Kingdom,Coal,13.615
1772,United Kingdom,Gas,0.0
1772,United Kingdom,Oil,0.0
1772,United Kingdom,Other Industries,0.0
1772,World,Coal,13.615
1772,World,Gas,0.0
1772,World,Oil,0.0
1772,World,Other Industries,0.0
1773,EU-28,Coal,13.619
1773,EU-28,Gas,0.0
1773,EU-28,Oil,0.0
1773,EU-28,Other Industries,0.0
1773,Europe,Coal,13.619
1773,Europe,Gas,0.0
1773,Europe,Oil,0.0
1773,Europe,Other Industries,0.0
1773,Europe (excl. EU-27),Coal,13.619
1773,Europe (excl. EU-27),Gas,0.0
1773,Europe (excl. EU-27),Oil,0.0
1773,Europe (excl. EU-27),Other Industries,0.0
1773,United Kingdom,Coal,13.619
1773,United Kingdom,Gas,0.0
1773,United Kingdom,Oil,0.0
1773,United Kingdom,Other Industries,0.0
1773,World,Coal,13.619
1773,World,Gas,0.0
1773,World,Oil,0.0
1773,World,Other Industries,0.0
1774,EU-28,Coal,13.623
1774,EU-28,Gas,0.0
1774,EU-28,Oil,0.0
1774,EU-28,Other Industries,0.0
1774,Europe,Coal,13.623
1774,Europe,Gas,0.0
1774,Europe,Oil,0.0
1774,Europe,Other Industries,0.0
1774,Europe (excl. EU-27),Coal,13.623
1774,Europe (excl. EU-27),Gas,0.0
1774,Europe (excl. EU-27),Oil,0.0
1774,Europe (excl. EU-27),Other Industries,0.0
1774,United Kingdom,Coal,13.623
1774,United Kingdom,Gas,0.0
1774,United Kingdom,Oil,0.0
1774,United Kingdom,Other Industries,0.0
1774,World,Coal,13.623
1774,World,Gas,0.0
1774,World,Oil,0.0
1774,World,Other Industries,0.0
1775,EU-28,Coal,13.626
1775,EU-28,Gas,0.0
1775,EU-28,Oil,0.0
1775,EU-28,Other Industries,0.0
1775,Europe,Coal,13.626
1775,Europe,Gas,0.0
1775,Europe,Oil,0.0
1775,Europe,Other Industries,0.0
1775,Europe (excl. EU-27),Coal,13.626
1775,Europe (excl. EU-27),Gas,0.0
1775,Europe (excl. EU-27),Oil,0.0
1775,Europe (excl. EU-27),Other Industries,0.0
1775,United Kingdom,Coal,13.626
1775,United Kingdom,Gas,0.0
1775,United Kingdom,Oil,0.0
1775,United Kingdom,Other Industries,0.0
1775,World,Coal,13.626
1775,World,Gas,0.0
1775,World,Oil,0.0
1775,World,Other Industries,0.0
1776,EU-28,Coal,15.037
1776,EU-28,Gas,0.0
1776,EU-28,Oil,0.0
1776,EU-28,Other Industries,0.0
1776,Europe,Coal,15.037
1776,Europe,Gas,0.0
1776,Europe,Oil,0.0
1776,Europe,Other Industries,0.0
1776,Europe (excl. EU-27),Coal,15.037
1776,Europe (excl. EU-27),Gas,0.0
1776,Europe (excl. EU-27),Oil,0.0
1776,Europe (excl. EU-27),Other Industries,0.0
1776,United Kingdom,Coal,15.037
1776,United Kingdom,Gas,0.0
1776,United Kingdom,Oil,0.0
1776,United Kingdom,Other Industries,0.0
1776,World,Coal,15.037
1776,World,Gas,0.0
1776,World,Oil,0.0
1776,World,Other Industries,0.0
1777,EU-28,Coal,15.041
1777,EU-28,Gas,0.0
1777,EU-28,Oil,0.0
1777,EU-28,Other Industries,0.0
1777,Europe,Coal,15.041
1777,Europe,Gas,0.0
1777,Europe,Oil,0.0
1777,Europe,Other Industries,0.0
1777,Europe (excl. EU-27),Coal,15.041
1777,Europe (excl. EU-27),Gas,0.0
1777,Europe (excl. EU-27),Oil,0.0
1777,Europe (excl. EU-27),Other Industries,0.0
1777,United Kingdom,Coal,15.041
1777,United Kingdom,Gas,0.0
1777,United Kingdom,Oil,0.0
1777,United Kingdom,Other Industries,0.0
1777,World,Coal,15.041
1777,World,Gas,0.0
1777,World,Oil,0.0
1777,World,Other Industries,0.0
1778,EU-28,Coal,15.044
1778,EU-28,Gas,0.0
1778,EU-28,Oil,0.0
1778,EU-28,Other Industries,0.0
1778,Europe,Coal,15.044
1778,Europe,Gas,0.0
1778,Europe,Oil,0.0
1778,Europe,Other Industries,0.0
1778,Europe (excl. EU-27),Coal,15.044
1778,Europe (excl. EU-27),Gas,0.0
1778,Europe (excl. EU-27),Oil,0.0
1778,Europe (excl. EU-27),Other Industries,0.0
1778,United Kingdom,Coal,15.044
1778,United Kingdom,Gas,0.0
1778,United Kingdom,Oil,0.0
1778,United Kingdom,Other Industries,0.0
1778,World,Coal,15.044
1778,World,Gas,0.0
1778,World,Oil,0.0
1778,World,Other Industries,0.0
1779,EU-28,Coal,15.048
1779,EU-28,Gas,0.0
1779,EU-28,Oil,0.0
1779,EU-28,Other Industries,0.0
1779,Europe,Coal,15.048
1779,Europe,Gas,0.0
1779,Europe,Oil,0.0
1779,Europe,Other Industries,0.0
1779,Europe (excl. EU-27),Coal,15.048
1779,Europe (excl. EU-27),Gas,0.0
1779,Europe (excl. EU-27),Oil,0.0
1779,Europe (excl. EU-27),Other Industries,0.0
1779,United Kingdom,Coal,15.048
1779,United Kingdom,Gas,0.0
1779,United Kingdom,Oil,0.0
1779,United Kingdom,Other Industries,0.0
1779,World,Coal,15.048
1779,World,Gas,0.0
1779,World,Oil,0.0
1779,World,Other Industries,0.0
1780,EU-28,Coal,15.055
1780,EU-28,Gas,0.0
1780,EU-28,Oil,0.0
1780,EU-28,Other Industries,0.0
1780,Europe,Coal,15.055
1780,Europe,Gas,0.0
1780,Europe,Oil,0.0
1780,Europe,Other Industries,0.0
1780,Europe (excl. EU-27),Coal,15.055
1780,Europe (excl. EU-27),Gas,0.0
1780,Europe (excl. EU-27),Oil,0.0
1780,Europe (excl. EU-27),Other Industries,0.0
1780,United Kingdom,Coal,15.055
1780,United Kingdom,Gas,0.0
1780,United Kingdom,Oil,0.0
1780,United Kingdom,Other Industries,0.0
1780,World,Coal,15.055
1780,World,Gas,0.0
1780,World,Oil,0.0
1780,World,Other Industries,0.0
1781,EU-28,Coal,16.843
1781,EU-28,Gas,0.0
1781,EU-28,Oil,0.0
1781,EU-28,Other Industries,0.0
1781,Europe,Coal,16.843
1781,Europe,Gas,0.0
1781,Europe,Oil,0.0
1781,Europe,Other Industries,0.0
1781,Europe (excl. EU-27),Coal,16.843
1781,Europe (excl. EU-27),Gas,0.0
1781,Europe (excl. EU-27),Oil,0.0
1781,Europe (excl. EU-27),Other Industries,0.0
1781,United Kingdom,Coal,16.843
1781,United Kingdom,Gas,0.0
1781,United Kingdom,Oil,0.0
1781,United Kingdom,Other Industries,0.0
1781,World,Coal,16.843
1781,World,Gas,0.0
1781,World,Oil,0.0
1781,World,Other Industries,0.0
1782,EU-28,Coal,16.847
1782,EU-28,Gas,0.0
1782,EU-28,Oil,0.0
1782,EU-28,Other Industries,0.0
1782,Europe,Coal,16.847
1782,Europe,Gas,0.0
1782,Europe,Oil,0.0
1782,Europe,Other Industries,0.0
1782,Europe (excl. EU-27),Coal,16.847
1782,Europe (excl. EU-27),Gas,0.0
1782,Europe (excl. EU-27),Oil,0.0
1782,Europe (excl. EU-27),Other Industries,0.0
1782,United Kingdom,Coal,16.847
1782,United Kingdom,Gas,0.0
1782,United Kingdom,Oil,0.0
1782,United Kingdom,Other Industries,0.0
1782,World,Coal,16.847
1782,World,Gas,0.0
1782,World,Oil,0.0
1782,World,Other Industries,0.0
1783,EU-28,Coal,16.854
1783,EU-28,Gas,0.0
1783,EU-28,Oil,0.0
1783,EU-28,Other Industries,0.0
1783,Europe,Coal,16.854
1783,Europe,Gas,0.0
1783,Europe,Oil,0.0
1783,Europe,Other Industries,0.0
1783,Europe (excl. EU-27),Coal,16.854
1783,Europe (excl. EU-27),Gas,0.0
1783,Europe (excl. EU-27),Oil,0.0
1783,Europe (excl. EU-27),Other Industries,0.0
1783,United Kingdom,Coal,16.854
1783,United Kingdom,Gas,0.0
1783,United Kingdom,Oil,0.0
1783,United Kingdom,Other Industries,0.0
1783,World,Coal,16.854
1783,World,Gas,0.0
1783,World,Oil,0.0
1783,World,Other Industries,0.0
1784,EU-28,Coal,16.858
1784,EU-28,Gas,0.0
1784,EU-28,Oil,0.0
1784,EU-28,Other Industries,0.0
1784,Europe,Coal,16.858
1784,Europe,Gas,0.0
1784,Europe,Oil,0.0
1784,Europe,Other Industries,0.0
1784,Europe (excl. EU-27),Coal,16.858
1784,Europe (excl. EU-27),Gas,0.0
1784,Europe (excl. EU-27),Oil,0.0
1784,Europe (excl. EU-27),Other Industries,0.0
1784,United Kingdom,Coal,16.858
1784,United Kingdom,Gas,0.0
1784,United Kingdom,Oil,0.0
1784,United Kingdom,Other Industries,0.0
1784,World,Coal,16.858
1784,World,Gas,0.0
1784,World,Oil,0.0
1784,World,Other Industries,0.0
1785,Canada,Coal,0.004
1785,Canada,Gas,0.0
1785,Canada,Oil,0.0
1785,Canada,Other Industries,0.0
1785,EU-28,Coal,16.865
1785,EU-28,Gas,0.0
1785,EU-28,Oil,0.0
1785,EU-28,Other Industries,0.0
1785,Europe,Coal,16.865
1785,Europe,Gas,0.0
1785,Europe,Oil,0.0
1785,Europe,Other Industries,0.0
1785,Europe (excl. EU-27),Coal,16.865
1785,Europe (excl. EU-27),Gas,0.0
1785,Europe (excl. EU-27),Oil,0.0
1785,Europe (excl. EU-27),Other Industries,0.0
1785,North America,Coal,0.004
1785,North America,Gas,0.0
1785,North America,Oil,0.0
1785,North America,Other Industries,0.0
1785,North America (excl. USA),Coal,0.004
1785,North America (excl. USA),Gas,0.0
1785,North America (excl. USA),Oil,0.0
1785,North America (excl. USA),Other Industries,0.0
1785,United Kingdom,Coal,16.865
1785,United Kingdom,Gas,0.0
1785,United Kingdom,Oil,0.0
1785,United Kingdom,Other Industries,0.0
1785,World,Coal,16.869
1785,World,Gas,0.0
1785,World,Oil,0.0
1785,World,Other Industries,0.0
1786,Canada,Coal,0.004
1786,Canada,Gas,0.0
1786,Canada,Oil,0.0
1786,Canada,Other Industries,0.0
1786,EU-28,Coal,19.148
1786,EU-28,Gas,0.0
1786,EU-28,Oil,0.0
1786,EU-28,Other Industries,0.0
1786,Europe,Coal,19.148
1786,Europe,Gas,0.0
1786,Europe,Oil,0.0
1786,Europe,Other Industries,0.0
1786,Europe (excl. EU-27),Coal,19.148
1786,Europe (excl. EU-27),Gas,0.0
1786,Europe (excl. EU-27),Oil,0.0
1786,Europe (excl. EU-27),Other Industries,0.0
1786,North America,Coal,0.004
1786,North America,Gas,0.0
1786,North America,Oil,0.0
1786,North America,Other Industries,0.0
1786,North America (excl. USA),Coal,0.004
1786,North America (excl. USA),Gas,0.0
1786,North America (excl. USA),Oil,0.0
1786,North America (excl. USA),Other Industries,0.0
1786,United Kingdom,Coal,19.148
1786,United Kingdom,Gas,0.0
1786,United Kingdom,Oil,0.0
1786,United Kingdom,Other Industries,0.0
1786,World,Coal,19.152
1786,World,Gas,0.0
1786,World,Oil,0.0
1786,World,Other Industries,0.0
1787,Canada,Coal,0.004
1787,Canada,Gas,0.0
1787,Canada,Oil,0.0
1787,Canada,Other Industries,0.0
1787,EU-28,Coal,19.155
1787,EU-28,Gas,0.0
1787,EU-28,Oil,0.0
1787,EU-28,Other Industries,0.0
1787,Europe,Coal,19.155
1787,Europe,Gas,0.0
1787,Europe,Oil,0.0
1787,Europe,Other Industries,0.0
1787,Europe (excl. EU-27),Coal,19.155
1787,Europe (excl. EU-27),Gas,0.0
1787,Europe (excl. EU-27),Oil,0.0
1787,Europe (excl. EU-27),Other Industries,0.0
1787,North America,Coal,0.004
1787,North America,Gas,0.0
1787,North America,Oil,0.0
1787,North America,Other Industries,0.0
1787,North America (excl. USA),Coal,0.004
1787,North America (excl. USA),Gas,0.0
1787,North America (excl. USA),Oil,0.0
1787,North America (excl. USA),Other Industries,0.0
1787,United Kingdom,Coal,19.155
1787,United Kingdom,Gas,0.0
1787,United Kingdom,Oil,0.0
1787,United Kingdom,Other Industries,0.0
1787,World,Coal,19.159
1787,World,Gas,0.0
1787,World,Oil,0.0
1787,World,Other Industries,0.0
1788,Canada,Coal,0.004
1788,Canada,Gas,0.0
1788,Canada,Oil,0.0
1788,Canada,Other Industries,0.0
